cell_id,cx,cy,cz,lambda,chi,sigma,is_interface,surface_x,surface_y,surface_z,normal_x,normal_y,normal_z,interpolation_coefficient
181,0.107,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
182,0.109,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
183,0.111,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
184,0.113,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
185,0.115,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
186,0.117,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
187,0.119,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
188,0.121,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
189,0.123,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
190,0.125,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
191,0.127,0.005,0.001,1,1,-0.012,0,0,0,0,0,0,0,0
192,0.001,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
193,0.003,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
194,0.005,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
195,0.007,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
196,0.009,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
197,0.011,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
198,0.013,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
199,0.015,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
200,0.017,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
201,0.019,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
202,0.021,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
203,0.023,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
204,0.025,0.007,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
205,0.027,0.007,0.001,1,1,-0.006,0,0,0,0,0,0,0,0
206,0.029,0.007,0.001,1,1,-0.004,0,0,0,0,0,0,0,0
207,0.031,0.007,0.001,1,1,-0.002,1,0,0,0,0,0,0,0.666667
208,0.033,0.007,0.001,0.208609,1,0.002,1,0,0,0,0,0,0,0.666667
209,0.035,0.007,0.001,0,0,0.004,0,0,0,0,0,0,0,0
210,0.037,0.007,0.001,0,0,0.006,0,0,0,0,0,0,0,0
211,0.039,0.007,0.001,0,0,0.008,0,0,0,0,0,0,0,0
212,0.041,0.007,0.001,0,0,0.01,0,0,0,0,0,0,0,0
213,0.043,0.007,0.001,0,0,0.0116619,0,0,0,0,0,0,0,0
214,0.045,0.007,0.001,0,0,0.0107703,0,0,0,0,0,0,0,0
215,0.047,0.007,0.001,0,0,0.010198,0,0,0,0,0,0,0,0
216,0.049,0.007,0.001,0,0,0.01,0,0,0,0,0,0,0,0
217,0.051,0.007,0.001,0,0,0.01,0,0,0,0,0,0,0,0
218,0.053,0.007,0.001,0,0,0.01,0,0,0,0,0,0,0,0
219,0.055,0.007,0.001,0,0,0.01,0,0,0,0,0,0,0,0
