case_id,method,simple_steps,rho_residual,rho_u,rho_p,rho_phi,rel_u,rel_p
topology_0290,cold,405,0.02167764485653156,0.021670437741887923,0.0005589361380295828,2.2348318506685605e-06,0.14561350935544784,0.42514029103663453
topology_0290,cold,410,0.021419988055437007,0.021412891168864412,0.0005513394572375307,2.210955779183359e-06,0.14431508352683836,0.4235451204367218
topology_0290,cold,415,0.021167590104940504,0.021160600640100162,0.0005439178388040633,2.1876010831977596e-06,0.14303315286090834,0.42196278999924813
topology_0290,cold,420,0.020920307216617685,0.02091342246091726,0.000536665932132095,2.1647531999151405e-06,0.14176741667996237,0.4203930839347222
topology_0290,cold,425,0.0206780022638615,0.02067121959706371,0.0005295785157662017,2.1423980807679127e-06,0.14051758185520885,0.4188357919513093
topology_0290,cold,430,0.02044053992719537,0.020433856812924377,0.000522650712769065,2.1205221382250413e-06,0.13928336286902723,0.4172907094026505
topology_0290,cold,435,0.02020779044906082,0.020201204432012527,0.0005158778178200246,2.099112266743583e-06,0.13806448165200752,0.4157576365131608
topology_0290,cold,440,0.01997962907423076,0.019973137776646225,0.0005092553192879984,2.078155826113243e-06,0.1368606672452889,0.41423637850115036
topology_0290,cold,445,0.019755935342372164,0.019749536460733727,0.0005027788820681927,2.057640590824497e-06,0.1356716555364549,0.41272674539459975
topology_0290,cold,450,0.019536592625134658,0.019530283926967613,0.000496444338135843,2.037554734945934e-06,0.1344971890422821,0.41122855184577717
topology_0290,cold,455,0.01932148825123649,0.019315267572194886,0.0004902476775256341,2.017886825834833e-06,0.1333370167347045,0.4097416169661481
topology_0290,cold,460,0.019110514415410885,0.019104379656550076,0.00048418505296824333,1.9986258028462935e-06,0.1321908937149134,0.40826576417977833
topology_0290,cold,465,0.018903566172285235,0.018897515297395806,0.000478252752427811,1.9797609572918556e-06,0.13105858100058193,0.4068008211569789
topology_0290,cold,470,0.01870054192593158,0.018694572958882678,0.0004724472054210422,1.961281922622337e-06,0.129939845385495,0.4053466196147581
topology_0290,cold,475,0.018501344189509022,0.018495455212619645,0.0004667649523230648,1.94317860572271e-06,0.1288344592251016,0.4039029951385715
topology_0290,cold,480,0.018305877761900492,0.01830006691360493,0.00046120264949496136,1.9254412730375226e-06,0.1277422001589924,0.4024697869177479
topology_0290,cold,485,0.018114049872746806,0.018108315344734977,0.00045575709242943866,1.9080604812567604e-06,0.12666285115429596,0.4010468381862891
topology_0290,cold,490,0.01792577099546473,0.017920111030558756,0.00045042519723885335,1.8910270702919506e-06,0.125596200307741,0.3996339957178268
topology_0290,cold,495,0.017740954680510384,0.01773536757147944,0.0004452039614805104,1.8743321421417157e-06,0.12454204063761913,0.3982311096811069
topology_0290,cold,500,0.017559517272766792,0.017554001360500435,0.0004400904862667346,1.857967071391824e-06,0.12350016990420495,0.3968380335662349
topology_0290,cold,505,0.017381377717188253,0.017375931388964448,0.0004350819703069748,1.8419234874740838e-06,0.1224703904537668,0.395454624088119
topology_0290,cold,510,0.01720645733687202,0.01720107902455289,0.00043017571026455787,1.8261932656325996e-06,0.12145250908483027,0.39408074116532493
topology_0290,cold,515,0.017034679874173203,0.017029368053128494,0.0004253690724132598,1.8107684870543433e-06,0.12044633690615794,0.39271624770929614
topology_0290,cold,520,0.016865971352104346,0.016860724539693114,0.0004206595087082415,1.7956414999565711e-06,0.119451689200784,0.3913610096080715
topology_0290,cold,525,0.016700251226744813,0.01669506797809451,0.0004160445552212367,1.780804819504612e-06,0.11846838575558719,0.3900148955499735
topology_0290,cold,530,0.016537461377582042,0.01653234029047406,0.0004115218285122763,1.7662512694219671e-06,0.11749625037533785,0.38867777690116306
topology_0290,cold,535,0.01637753330407403,0.01637247301364945,0.00040708902461539855,1.751973778667983e-06,0.11653510980624061,0.3873495280255418
topology_0290,cold,540,0.016220400511430262,0.016215399689208234,0.0004027439011437537,1.7379655112096975e-06,0.11558479460910247,0.38603002596301556
topology_0290,cold,545,0.016065998456043274,0.016061055808760216,0.00039848428393169196,1.7242198147161713e-06,0.1146451390330864,0.38471915027558634
topology_0290,cold,550,0.01591426452628441,0.01590937879475948,0.0003943080658748296,1.7107302228775587e-06,0.11371598092200026,0.3834167829541508
topology_0290,cold,555,0.015765138808671232,0.015760308767520402,0.0003902131822700867,1.6974904678757148e-06,0.1127971615138977,0.3821228083983716
topology_0290,cold,560,0.015618562078513497,0.015613786534111962,0.0003861976567024947,1.6844944040666216e-06,0.11188852534465661,0.38083711355116806
topology_0290,cold,565,0.015474477283127362,0.015469755073226246,0.00038225955280930037,1.6717361047812665e-06,0.11098992021409602,0.37955958748255436
topology_0290,cold,570,0.015332828918324094,0.015328158910940961,0.00037839699597077626,1.6592097805776126e-06,0.1101011970396405,0.37829012151699143
topology_0290,cold,575,0.015193563012600943,0.015188944105206676,0.0003746081612445024,1.6469098010179803e-06,0.10922220977668766,0.377028609146686
topology_0290,cold,580,0.015056627086445732,0.015052058205049127,0.0003708912771060576,1.6348306891665822e-06,0.10835281533344401,0.37577494597663286
topology_0290,cold,585,0.01492197007837682,0.014917450176672842,0.0003672446220630161,1.622967117866771e-06,0.10749287348654946,0.37452902966664714
topology_0290,cold,590,0.014789542291980685,0.01478507035059845,0.00036366652005292386,1.6113138935222981e-06,0.10664224680469377,0.3732907598821853
topology_0290,cold,595,0.014659295370453473,0.014654870396049862,0.00036015534649480753,1.5998659765416494e-06,0.10580080057165643,0.37206003823890116
topology_0290,cold,600,0.014531182238305507,0.01452680326301944,0.00035670951299984294,1.588618440104402e-06,0.10496840271546565,0.37083676825108974
topology_0290,cold,605,0.014405157057499974,0.014400823138100259,0.00035332747937487,1.577566500895544e-06,0.10414492373416398,0.36962085528199534
topology_0290,cold,610,0.014281175188085343,0.014276885405246378,0.0003500077480303749,1.5667055043702125e-06,0.10333023663160083,0.3684122065023732
topology_0290,cold,615,0.01415919321482381,0.014154946672364013,0.00034674886591214404,1.5560309265874847e-06,0.10252421684742259,0.36721073084269074
topology_0290,cold,616,0.014135032972382132,0.014130794972308517,0.00034610427077580273,1.5539179997782168e-06,0.10236404217526154,0.3669712885928205
