split,topology_id,pressure_mean,pressure_std,pressure_min,pressure_max,pressure_drop
train,topology_0070,15.867363485529543,6.908578873692791,0.49001692171723715,42.34962053638642,41.85960361466918
train,topology_0071,18.87237143333371,12.405978248197982,0.1981967292623623,53.68186817583735,53.48367144657499
train,topology_0072,11.701199941158372,5.136144352787926,0.10783713884858395,32.99002374571644,32.88218660686786
train,topology_0073,22.39509111071318,14.814742295903123,-0.14766653759136739,57.11291968697162,57.26058622456299
train,topology_0074,17.55546588732799,7.772654993438797,0.2179655505863641,41.897776675427174,41.67981112484081
train,topology_0075,17.58281223923262,11.482519844664521,-0.4033786868780862,51.79635422717147,52.199732914049555
train,topology_0076,10.165370750544813,6.52580485240387,-0.2163209115328716,35.69992991703363,35.9162508285665
train,topology_0077,13.345917563768499,4.271203388275254,0.43032727900275747,36.7132395420946,36.28291226309184
train,topology_0078,9.715307052067537,5.066809624289986,0.15168246564447285,32.15988455829222,32.00820209264775
train,topology_0079,21.213925997643848,12.460416927246019,0.1461296815174025,53.15204453305394,53.00591485153654
train,topology_0080,12.592101680841317,8.815084737794367,0.1432865478428867,43.84768977304324,43.70440322520036
train,topology_0081,9.730985198364827,6.650414544162835,0.17113407003381617,38.640261566843186,38.46912749680937
train,topology_0082,20.248315857786586,10.64445793832205,-0.14682995989199288,48.42285943951374,48.56968939940574
train,topology_0083,10.225020331756383,6.215039185171207,-0.44379247634316676,40.860385991287984,41.304178467631154
train,topology_0084,12.404370342721101,9.636083131151285,-0.3735304552997498,39.2198701874751,39.59340064277485
train,topology_0085,23.000185341933364,12.804585035485152,0.2317780754401732,51.912735865725544,51.68095779028537
train,topology_0086,18.123337193859633,8.87944827703492,0.08730385127081913,45.659600516667865,45.57229666539705
train,topology_0087,15.83635426028544,10.981625889798693,-0.39368582422162024,48.51249264397391,48.90617846819553
train,topology_0088,19.711109077659582,8.66287438421922,0.4846257987660627,51.122890885017796,50.638265086251735
train,topology_0089,11.378635471753022,6.532005673003886,-0.4279414059598823,37.24393903304279,37.67188043900268
train,topology_0090,11.535712077385137,8.142089506731812,-0.05603353962401149,42.874447512335465,42.930481051959475
train,topology_0091,18.043616678848082,10.709589791199267,0.18751157119963294,51.969536759890644,51.78202518869101
train,topology_0092,10.396849029290873,7.048301498441941,0.041834669943489985,35.418684989765985,35.376850319822495
train,topology_0093,5.831576770961366,3.7557970668556684,0.1268620524429757,30.26156515491335,30.13470310247037
train,topology_0094,15.096463234794342,4.9749907714354915,0.4805524120654826,39.94376533295429,39.46321292088881
train,topology_0095,25.627513927989895,15.213616284939405,0.13430800347118554,66.82744023616922,66.69313223269803
train,topology_0096,17.809582553081185,9.23690750089159,-0.4571406159492083,37.926509099542955,38.38364971549216
train,topology_0097,17.3707032266142,9.229530551936831,0.2043659534189808,49.101146294118955,48.896780340699976
train,topology_0098,12.057900594825586,6.121326608351649,0.18234661153890244,34.509737981799965,34.32739137026106
train,topology_0099,13.712464617279409,8.496687243518277,0.2149402950008377,48.24014160171747,48.02520130671663
train,topology_0100,11.785471520987745,7.765722316803791,-0.2646821188830066,38.455528943763326,38.720211062646335
train,topology_0101,16.193630995546297,11.31659815223211,-0.4686471354964763,47.20147165595838,47.670118791454854
train,topology_0102,13.114663162781191,6.9093976849217285,0.03729367115260109,43.92167253135547,43.884378860202865
train,topology_0103,11.834437117377998,6.109452859152976,-0.5333291458649053,34.12084518456685,34.65417433043176
train,topology_0104,19.609951143974115,10.900352925341966,0.1616689161156159,51.25019984813463,51.08853093201901
train,topology_0105,20.61950644573202,9.281354955312672,0.4870097931326728,51.358332975820645,50.87132318268797
train,topology_0106,10.671116050626408,7.272783514223573,-0.07533469523403756,40.665431409495454,40.740766104729495
train,topology_0107,6.6083461354088096,5.153899022392569,0.24227736137226424,31.933629766056406,31.691352404684142
train,topology_0108,12.735082727279808,7.669005030727841,-0.2501857874534296,38.51936665913635,38.769552446589785
train,topology_0109,12.956016542429364,7.298389586169978,0.000766064969445223,38.95632735996064,38.95556129499119
train,topology_0110,14.162826607608446,5.839470716677019,0.17398300240440107,39.417587392966524,39.243604390562126
train,topology_0111,17.573746131588102,8.499503562590805,0.060618512669646026,38.42716497112654,38.36654645845689
train,topology_0112,21.231977625387437,9.38767358273026,0.4702140154419229,47.63439037847799,47.16417636303606
train,topology_0113,20.745456753793363,12.489749450327318,0.09680928371207168,53.882132770263894,53.785323486551825
train,topology_0114,20.1481928288179,12.82832277402535,0.11690848506018636,53.3293500806025,53.212441595542316
train,topology_0115,15.773314015283846,7.778814273919672,-0.030959668103218388,42.472699251421105,42.50365891952433
train,topology_0116,9.148586930311243,7.965066346715227,-0.3318777725956762,33.55380584685495,33.885683619450624
train,topology_0117,9.088638593857436,6.147759482390762,0.18796905765738572,35.77692043984322,35.58895138218583
train,topology_0118,12.073516860789073,9.532370834216172,-0.37824914746025207,42.64288843843016,43.021137585890415
train,topology_0119,9.790899660542923,6.255932406665491,-0.18982446140726614,37.01322743639505,37.20305189780232
train,topology_0120,8.004921050686196,5.426760056804576,0.16979353146417106,35.69310593182955,35.52331240036538
train,topology_0121,12.950697875549999,8.848307807862023,-0.7058683553928584,42.4338128518363,43.13968120722916
train,topology_0122,16.460758519818484,8.51269675529448,-0.17314794317378207,43.49888720474833,43.67203514792211
train,topology_0123,19.277804184751723,11.559223296224546,0.19915339602401821,49.642723164565346,49.44356976854133
train,topology_0124,10.1195305597156,5.642553779214883,0.17263803839233194,36.02894905457216,35.85631101617983
train,topology_0125,15.902330394771413,6.550509225372154,0.4369832404385788,42.75822445364602,42.32124121320744
train,topology_0126,16.88502026843011,8.418452165522929,-0.8923264014923489,44.50280512651147,45.395131528003816
train,topology_0127,15.346563863676531,8.90758219588812,-1.0795348482288958,42.43410510272695,43.51363995095585
train,topology_0128,12.069596060264345,9.710376663588926,-0.5378952462077126,43.673640665604125,44.211535911811836
train,topology_0129,17.305671962699,10.454356976399987,0.17231014014998736,49.8829923426457,49.71068220249571
train,topology_0130,16.85157617987156,8.729630259366472,0.32289537697621545,43.9032440128352,43.58034863585899
train,topology_0131,18.608666013633922,10.393444341605138,0.04834579085785074,47.657296823945146,47.608951033087294
train,topology_0132,16.46894354001755,9.067965192588984,-0.21724551938375547,46.27644518995851,46.49369070934226
train,topology_0133,13.517600392123713,7.429961730011427,0.17613021995735387,35.88208949429305,35.7059592743357
train,topology_0134,11.943966737932808,5.1002575165694335,0.478015853248408,36.82633345829562,36.348317605047214
train,topology_0135,24.046695249371155,9.877852050228611,0.4722356866738234,49.479315815948524,49.0070801292747
train,topology_0136,11.732758520258919,8.607347664361681,0.05135519711984368,41.846608293360056,41.79525309624021
train,topology_0137,14.439204853632365,6.229863877185102,0.12047416114431352,39.05760829853163,38.93713413738732
train,topology_0138,11.695207847752169,5.6187959919595505,-0.41159619495757255,36.68052344955123,37.092119644508806
train,topology_0139,11.289054571003508,4.871611295054158,0.08332340311577073,34.99963462411662,34.916311221000846
train,topology_0140,10.24920264729466,6.661421713633998,-0.26170166110186555,32.80992433831981,33.07162599942168
train,topology_0141,21.038563568000548,10.347449762010175,-0.013465339468100399,48.35332829944992,48.36679363891802
train,topology_0142,16.93165859731588,9.08036403536061,-0.34340738177330693,52.464004975268324,52.80741235704163
train,topology_0143,10.95228778278508,7.137596494655776,-0.026994028384481623,39.21458815418587,39.24158218257035
train,topology_0144,10.83332765471259,7.399710574625807,0.08450867449375586,39.805496217546334,39.72098754305258
train,topology_0145,18.24597661827016,9.332853735714203,0.20352896228808995,47.264715803606194,47.061186841318104
train,topology_0146,15.827628036735785,10.744717018738642,0.18470436721323016,42.86351705014837,42.67881268293514
train,topology_0147,8.31550062570727,5.079369063330901,-0.36290460897855026,32.487120396104785,32.85002500508334
train,topology_0148,15.165138902146879,10.47481464731504,0.05472063061614339,42.90140973280862,42.84668910219247
train,topology_0149,18.80066345624941,11.385012800143645,0.0134321015434495,53.966193722225476,53.952761620682026
train,topology_0150,18.281433790443913,9.520303419291219,0.4268775846629297,47.452984755257724,47.02610717059479
train,topology_0151,16.837630351028814,11.021663860995092,0.13056924524161054,46.20630473202586,46.075735486784254
train,topology_0152,8.956183564012285,4.4180041666197045,0.19783604987227008,33.14733394482884,32.949497894956565
train,topology_0153,13.072311651982705,8.221137635874921,-0.6033265224989471,42.75355276394658,43.356879286445526
train,topology_0154,18.85927224331078,10.57487400828661,-0.9362485077865619,51.6274862386904,52.56373474647696
train,topology_0155,7.843113753683298,5.75070955972957,-0.8889287842709183,32.4194694836014,33.30839826787231
train,topology_0156,17.1001226091591,9.792184381727429,0.18157486773447343,47.66963679611117,47.488061928376695
train,topology_0157,18.948853449005902,10.033948599471461,-0.06405158469575974,44.47146554573521,44.53551713043097
train,topology_0158,13.784000404237451,7.2289408653213005,-0.7487382873799325,24.42062924254562,25.16936752992555
train,topology_0159,19.407979648973654,7.2308286324737985,0.4105011334166858,47.43120881430764,47.02070768089095
train,topology_0160,21.552669296574358,9.201147806069837,0.5040346147856106,49.5896647002666,49.08563008548099
train,topology_0161,8.494381788053062,5.094848787242667,-0.6455315929620331,34.33541161718834,34.98094321015037
train,topology_0162,14.890156431797843,4.617446393373169,0.36070739289581955,36.02474008181732,35.6640326889215
train,topology_0163,18.723682438942113,14.785847421537085,-0.4658409729073175,57.71131315661945,58.17715412952676
train,topology_0164,12.05542288558377,9.424839634902696,-0.24254876949615656,44.72168328185231,44.96423205134846
train,topology_0165,21.58349108106324,10.872888461018562,0.4591377423834707,56.96997285823383,56.51083511585036
train,topology_0166,3.444492479317134,2.82648589844182,0.027084037248630552,28.439207634851623,28.412123597602992
train,topology_0167,9.891346597545846,7.0339058717345635,-0.16689535562276367,37.569428999224016,37.73632435484678
train,topology_0168,21.955209765975688,9.919243455368163,0.4707113244888862,48.785369227177775,48.314657902688886
train,topology_0169,12.949356892610112,8.546542462055257,-0.09108187619207107,40.16087973376129,40.25196160995336
train,topology_0170,7.881895890259005,6.147717222024656,-0.17404568960904593,32.297933072179276,32.47197876178832
train,topology_0171,11.340826835154566,6.142960273610533,0.11717538211386867,38.09059275864366,37.97341737652979
train,topology_0172,23.367136350617955,11.576668335611283,0.39547522709426775,62.68065245953986,62.28517723244559
train,topology_0173,16.76254816064791,10.909945080319408,-0.7406368126606993,49.801945695812464,50.54258250847316
train,topology_0174,13.428208591165482,9.939020466809703,0.05311920592084004,42.49855591805271,42.44543671213187
train,topology_0175,16.768095351589736,12.92505628172308,-0.4177857093366524,49.79099544034859,50.208781149685244
train,topology_0176,10.882034370122412,5.486986457702743,-0.39007141791590494,19.53279527184434,19.922866689760244
train,topology_0177,14.833186065914564,11.89641646995005,-0.00754077385622938,49.11954521011444,49.127085983970666
train,topology_0178,8.402623927015282,7.077399570327126,-0.3966314786697085,35.973301028071475,36.369932506741186
train,topology_0179,9.465475913568115,5.716550184418198,0.05620857477159835,32.88444252850126,32.828233953729665
train,topology_0180,13.176817893495366,6.227388872567099,0.17436364397827583,35.86424745809385,35.689883814115575
