global_step,stage,stage_step,beta,learning_rate,loss_total,loss_momentum,loss_continuity,loss_x_raw,loss_y_raw,loss_continuity_raw,residual_x_l2,residual_y_l2,residual_continuity_l2,divergence_l2,inlet_flux,outlet_flux,mass_imbalance,continuity_constant_test,absolute_mass_defect,max_speed,mean_speed,pressure_min,pressure_max,gradient_norm,seconds_per_step,elapsed_seconds,rss_mb
195,2,45,0.5,0.0005,0.2526418367303311,0.11103493395820005,0.14160690277213103,0.00039966435335252437,3.270705118851904e-05,0.014215219593673696,0.003455297810812414,0.0010509088081503077,0.0005356937505375478,0.14994529496916853,-0.0032000000000000015,-2.5894243074175933e-05,0.9999999996900084,-0.0032258942430741858,0.0032258942430741775,0.1,0.0026201369502010428,-0.01188194842038969,0.006798766512825222,0.1482684764568101,0.4360739019179484,85.03441652999993,691.8125
200,2,50,0.5,0.0005,0.25213521813114526,0.11060587594317653,0.14152934218796875,0.0003980919583165814,3.260868901344631e-05,0.014207433668594503,0.0034491166392015887,0.0010506785643777088,0.00053567534249998,0.14995079639058018,-0.0032000000000000015,-2.5211855062058386e-05,0.9999999996899428,-0.0032252118550620676,0.0032252118550620597,0.1,0.0026208389169822916,-0.01200158574318927,0.006927802304493046,0.4468235422523964,0.43270854158999955,86.54171967499997,691.8125
205,3,5,1.0,0.0005,0.25151250206128056,0.11015462910529188,0.14135787295598867,0.00039632492754110304,3.2618559027570605e-05,0.014190220716835523,0.0034410148880012503,0.0010498055799866958,0.0005358848440848073,0.1499371396747666,-0.0032000000000000015,-2.7309007956874423e-05,0.9999999996901443,-0.0032273090079568832,0.003227309007956876,0.1,0.0026107135533948995,-0.012108961615513888,0.00705527060197144,2.1545100287967314,0.4501485056536583,92.28045156899998,691.8125
210,3,10,1.0,0.0005,0.2548127880099273,0.11423393359863511,0.14057885441129217,0.0004095050567368349,3.532329192399249e-05,0.014112018881588658,0.0034546100097408365,0.0010637181518771816,0.000534317318232722,0.1497030011864912,-0.0032000000000000015,-1.5023546625308967e-05,0.9999999996889603,-0.0032150235466253106,0.0032150235466253106,0.1,0.0027461217309854113,-0.012252702354312486,0.007183809939518837,11.135500432889508,0.44916404630476153,94.324459026,691.8125
215,3,15,1.0,0.0005,0.25447612691448573,0.11286774046148967,0.14160838645299606,0.0004044202158374871,3.5088159869564446e-05,0.01421536853308901,0.0034391037868750315,0.0010565400132980937,0.0005367361367565618,0.1501057422047359,-0.0032000000000000015,-3.5708780540539176e-05,0.9999999996909487,-0.0032357087805405457,0.0032357087805405405,0.1,0.002586646648121906,-0.012382413717296717,0.00731987485931381,11.280828749190412,0.4501989497906977,96.79278239299992,691.8125
220,3,20,1.0,0.0005,0.25263983273190416,0.11197713775633689,0.1406626949755673,0.00040205047385876005,3.39898839120632e-05,0.014120435222944181,0.003436998839535091,0.001058115783912952,0.0005344921793771454,0.1498120822795658,-0.0032000000000000015,-1.620358764701374e-05,0.9999999996890744,-0.003216203587647023,0.003216203587647015,0.1,0.0027043714875636202,-0.012550450314747092,0.00742989506789926,9.211245796060105,0.449273263854545,98.84012544999996,691.8125
225,3,25,1.0,0.0005,0.2526996820120657,0.1112792891673717,0.14142039284469402,0.0003992328396200532,3.4090087124229774e-05,0.014196496780569142,0.003425370543539678,0.0010532018725297476,0.000536508491998365,0.15012222283709553,-0.0032000000000000015,-3.413767689707478e-05,0.9999999996907986,-0.003234137676897073,0.0032341376768970764,0.1,0.0025822787294509145,-0.012668397547535184,0.007541546517681641,10.02890243528718,0.451651328942222,101.62155641499999,691.8125
230,3,30,1.0,0.0005,0.251823458656689,0.11153147806991523,0.14029198058677378,0.0004005492464761605,3.375570697012835e-05,0.014083221031121099,0.0034288616702615737,0.0010569928495701754,0.0005341588326550188,0.14976614187201434,-0.0032000000000000015,-1.5908656693969315e-05,0.9999999996890458,-0.003215908656693976,0.003215908656693971,0.1,0.0027078264835494097,-0.012831781287338691,0.007618202365439913,9.379171040777036,0.45360494656521716,104.32915073699996,691.8125
235,3,35,1.0,0.0005,0.25158834074330794,0.11044998099510656,0.14113835974820135,0.00039651785997457006,3.3575730501771916e-05,0.014168184866948812,0.0034153863289509484,0.0010515533118054597,0.0005362243215655759,0.1501126422085136,-0.0032000000000000015,-3.360368245809969e-05,0.9999999996907475,-0.003233603682458111,0.003233603682458101,0.1,0.0025853514020596296,-0.012941074225308226,0.007704284383086591,9.69687382027231,0.45514314272340395,106.95864665199997,691.8125
240,3,40,1.0,0.0005,0.2491415966612544,0.10888072600629749,0.14026087065495693,0.00039182715101142296,3.215574115217145e-05,0.01408009805827399,0.003411125993889068,0.0010498306705175313,0.0005343084766421322,0.149847804194894,-0.0032000000000000015,-1.8926508869461412e-05,0.9999999996893374,-0.0032189265088694696,0.003218926508869463,0.1,0.0026639667082048453,-0.01309624901040726,0.007760278217605719,5.69436417577989,0.45608110674583313,109.45947651699998,691.8125
245,3,45,1.0,0.0005,0.24765431273200758,0.10720800220138987,0.1404463105306177,0.00038625803854082044,3.12112464619014e-05,0.014098713454150442,0.0033997282508664013,0.0010449167127431398,0.0005347990415026217,0.14996148108534835,-0.0032000000000000015,-2.4128006779733682e-05,0.9999999996898387,-0.003224128006779733,0.0032241280067797353,0.1,0.0026131872764872236,-0.013216796649599303,0.007814714076214159,0.1617055324768709,0.4559374367673469,111.70467871699998,691.8125
250,3,50,1.0,0.0005,0.24767283947096475,0.1071665519174344,0.14050628755353034,0.00038593367061308994,3.137420647183914e-05,0.014104734252110056,0.0033945279188457196,0.001044763821077234,0.0005350458157633602,0.15003406595674187,-0.0032000000000000015,-2.740245813114583e-05,0.9999999996901533,-0.0032274024581311535,0.0032274024581311475,0.1,0.002594605746507548,-0.013334610022042084,0.007857456415985542,3.897712757708731,0.45702720493199966,114.25680941099995,691.8125
255,3,55,1.0,0.0005,0.25177117826985795,0.11223036482674834,0.1395408134431096,0.0004023392849266545,3.468714218467762e-05,0.014007815060863266,0.0034136195548292005,0.0010605058255948145,0.0005330027226770137,0.1497450655905912,-0.0032000000000000015,-1.1753580670034936e-05,0.9999999996886436,-0.003211753580670045,0.0032117535806700363,0.1,0.0027454239365332597,-0.01347884494744357,0.007877914968094663,12.64563057762183,0.48659783438823506,124.08245954099993,691.8125
260,3,60,1.0,0.0005,0.25127637526131774,0.1118880124426345,0.13938836281868325,0.00040115859465790705,3.45347080403192e-05,0.013992511293455117,0.0034088179793046107,0.0010598433008861573,0.0005328126392589866,0.14974424752009127,-0.0032000000000000015,-1.1645978581576894e-05,0.9999999996886332,-0.003211645978581579,0.003211645978581578,0.1,0.002744267982163801,-0.013586124406243046,0.007896612787833457,12.613597430266726,0.484371027230769,125.936475084,691.8125
265,3,65,1.0,0.0005,0.24631442836773676,0.10667568358044434,0.1396387447872924,0.0003844051559693968,3.0991273747184055e-05,0.01401764590622045,0.003384637241151087,0.0010450227448947083,0.0005335464201732968,0.14988735237211398,-0.0032000000000000015,-1.9353629619878287e-05,0.9999999996893787,-0.0032193536296198796,0.0032193536296198796,0.1,0.0026489131845703414,-0.013669477747585906,0.007911725358976655,4.0570789952121045,0.48413282482641484,128.29520498299996,691.8125
